,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,1.2013111114501953,0.17058825492858887,0.05538022518157959,0.010132193565368652,1,5,100,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 100}",0.9624129930394432,0.9530887134231305,0.957753017641597,0.0046621393057397955,10
1,1.5015050172805786,0.38229143619537354,0.07760190963745117,0.016705036163330078,1,5,150,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 150}",0.9624129930394432,0.9530887134231305,0.957753017641597,0.0046621393057397955,10
2,1.851309061050415,0.4685676097869873,0.09909868240356445,0.02194046974182129,1,5,200,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 200}",0.9614849187935035,0.9530887134231305,0.957288765088208,0.00419810223277703,12
3,1.1287224292755127,0.2845332622528076,0.05322301387786865,0.012492060661315918,1,7,100,"{'learning_rate': 1, 'max_depth': 7, 'n_estimators': 100}",0.9633410672853828,0.9558755225267069,0.9596100278551533,0.0037327719770748995,9
4,1.8352464437484741,0.022858262062072754,0.09377944469451904,0.0003529787063598633,1,7,150,"{'learning_rate': 1, 'max_depth': 7, 'n_estimators': 150}",0.9638051044083527,0.9577333952624245,0.9607706592386258,0.003035854245804526,6
5,2.0312222242355347,0.5905481576919556,0.14156413078308105,0.05029129981994629,1,7,200,"{'learning_rate': 1, 'max_depth': 7, 'n_estimators': 200}",0.9642691415313225,0.9568044588945657,0.9605385329619313,0.0037323409161618146,8
6,2.47969651222229,0.30803489685058594,0.11948490142822266,0.017275571823120117,0.5,5,100,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 100}",0.9689095127610209,0.9563399907106364,0.962627669452182,0.006284760347913595,3
7,4.08623468875885,0.12077748775482178,0.17669081687927246,0.007710695266723633,0.5,5,150,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 150}",0.9693735498839907,0.9572689270784951,0.9633240482822656,0.006052310750519127,1
8,3.9331332445144653,0.6806122064590454,0.21960759162902832,0.05500626564025879,0.5,5,200,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 200}",0.9698375870069605,0.9568044588945657,0.9633240482822656,0.006516563353938463,1
9,3.035097599029541,0.5714335441589355,0.14568591117858887,0.055245161056518555,0.5,7,100,"{'learning_rate': 0.5, 'max_depth': 7, 'n_estimators': 100}",0.9665893271461717,0.9554110543427775,0.9610027855153204,0.0055891357993825865,5
10,4.806285977363586,0.3829113245010376,0.14922738075256348,0.027193784713745117,0.5,7,150,"{'learning_rate': 0.5, 'max_depth': 7, 'n_estimators': 150}",0.9665893271461717,0.9563399907106364,0.9614670380687094,0.005124667665506681,4
11,4.638859748840332,0.8284022808074951,0.1901305913925171,0.013568758964538574,0.5,7,200,"{'learning_rate': 0.5, 'max_depth': 7, 'n_estimators': 200}",0.965661252900232,0.9558755225267069,0.9607706592386258,0.004892864659481813,6
