,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.06358041763305664,0.01564397788576692,0.001233959197998047,0.000191962321796325,1,50,"{'learning_rate': 1, 'n_estimators': 50}",0.9445086705202312,0.9444444444444444,0.9419279907084785,0.9383720930232559,0.9463869463869464,0.9431290622098422,0.002765633525156308,18
1,0.04607977867126465,0.003236459703493831,0.0011343002319335938,0.00011760438138841436,1,100,"{'learning_rate': 1, 'n_estimators': 100}",0.9526011560693641,0.9513888888888888,0.9337979094076655,0.9430232558139535,0.9568764568764568,0.947539461467038,0.008203090148314758,1
2,0.05588650703430176,0.0070372868516755385,0.001226043701171875,0.0001632063625020227,1,150,"{'learning_rate': 1, 'n_estimators': 150}",0.9468208092485549,0.9467592592592593,0.9326364692218351,0.9418604651162791,0.9592074592074592,0.9454503249767874,0.008590871989093416,7
3,0.05654420852661133,0.010359665738205697,0.001242685317993164,0.0001702945253605683,1,200,"{'learning_rate': 1, 'n_estimators': 200}",0.9502890173410404,0.9456018518518519,0.9314750290360047,0.9441860465116279,0.9557109557109557,0.9454503249767874,0.008063960946278903,7
4,0.056312036514282224,0.006986780608637112,0.001230621337890625,0.00017962801949952388,0.5,50,"{'learning_rate': 0.5, 'n_estimators': 50}",0.9514450867052023,0.9467592592592593,0.9314750290360047,0.9395348837209302,0.9545454545454546,0.9447539461467038,0.008340844639223402,10
5,0.055287504196166994,0.006442952818421565,0.0014039993286132813,0.00023532106520492274,0.5,100,"{'learning_rate': 0.5, 'n_estimators': 100}",0.9502890173410404,0.9444444444444444,0.9291521486643438,0.9383720930232559,0.9592074592074592,0.9442896935933147,0.010214758838958669,11
6,0.059765625,0.009646607142758471,0.0012917041778564454,0.00016612252449323437,0.5,150,"{'learning_rate': 0.5, 'n_estimators': 150}",0.9398843930635838,0.9467592592592593,0.9326364692218351,0.9406976744186046,0.9452214452214452,0.9410399257195915,0.0049444977044104796,20
7,0.04312734603881836,0.0032545555747509084,0.001061391830444336,0.00024553888535056896,0.5,200,"{'learning_rate': 0.5, 'n_estimators': 200}",0.9491329479768786,0.9502314814814815,0.9337979094076655,0.9406976744186046,0.9545454545454546,0.9456824512534819,0.007441433662355065,5
8,0.06347489356994629,0.0030028260075495926,0.001342916488647461,2.6758425708386962e-05,0.1,50,"{'learning_rate': 0.1, 'n_estimators': 50}",0.9491329479768786,0.9432870370370371,0.9337979094076655,0.9395348837209302,0.9533799533799534,0.9438254410399257,0.006904126592608023,15
9,0.05551676750183106,0.009504772594218442,0.0012404918670654297,0.00018899054425283675,0.1,100,"{'learning_rate': 0.1, 'n_estimators': 100}",0.945664739884393,0.9467592592592593,0.926829268292683,0.9395348837209302,0.9498834498834499,0.941736304549675,0.008170614804086741,19
10,0.055701255798339844,0.010824301694012804,0.0012088775634765624,0.00015528783175282232,0.1,150,"{'learning_rate': 0.1, 'n_estimators': 150}",0.9491329479768786,0.9409722222222222,0.9314750290360047,0.9372093023255814,0.958041958041958,0.9433611884865367,0.009303225474033453,16
11,0.0627103328704834,0.004230443538749319,0.0013380050659179688,0.000152447457062863,0.1,200,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9479768786127167,0.9479166666666666,0.9384436701509872,0.9418604651162791,0.9522144522144522,0.9456824512534819,0.004893331570257067,5
12,0.04637079238891602,0.007029376210316173,0.0010877609252929687,0.00015450337765297926,0.05,50,"{'learning_rate': 0.05, 'n_estimators': 50}",0.9502890173410404,0.9513888888888888,0.9384436701509872,0.9395348837209302,0.9533799533799534,0.9466109563602599,0.00630456270886951,2
13,0.06343460083007812,0.003350694107698867,0.0013730525970458984,3.3548806697281245e-05,0.05,100,"{'learning_rate': 0.05, 'n_estimators': 100}",0.9502890173410404,0.9490740740740741,0.9337979094076655,0.9430232558139535,0.9557109557109557,0.9463788300835655,0.007466826296998423,3
14,0.050794553756713864,0.009843241768105474,0.0011445045471191405,0.00016180986814845954,0.05,150,"{'learning_rate': 0.05, 'n_estimators': 150}",0.945664739884393,0.9490740740740741,0.9314750290360047,0.9395348837209302,0.9545454545454546,0.9440575673166203,0.007949736124898622,13
15,0.04360179901123047,0.0012796084342763655,0.0010280132293701172,1.37783662520116e-05,0.05,200,"{'learning_rate': 0.05, 'n_estimators': 200}",0.9491329479768786,0.9502314814814815,0.9372822299651568,0.9406976744186046,0.9487179487179487,0.9452181987000928,0.005217638498768464,9
16,0.06339530944824219,0.002898990127515977,0.0014049530029296875,4.54296952397624e-05,0.01,50,"{'learning_rate': 0.01, 'n_estimators': 50}",0.9514450867052023,0.9432870370370371,0.9349593495934959,0.9383720930232559,0.9487179487179487,0.9433611884865367,0.006157505615107811,16
17,0.05463495254516602,0.009786232448591123,0.0011122703552246093,0.00019203596987852942,0.01,100,"{'learning_rate': 0.01, 'n_estimators': 100}",0.9445086705202312,0.9444444444444444,0.9372822299651568,0.9430232558139535,0.9522144522144522,0.9442896935933147,0.004759890506735949,11
18,0.04862642288208008,0.008536905538214243,0.0010692596435546875,0.00017425292217117155,0.01,150,"{'learning_rate': 0.01, 'n_estimators': 150}",0.9491329479768786,0.9421296296296297,0.9349593495934959,0.9395348837209302,0.9545454545454546,0.9440575673166203,0.006960764708088566,13
