,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,521.5180247783661,2.6372220326202753,2.882163572311401,0.06090772762283453,1,5,100,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 100}",0.993408822038195,0.993238674780257,0.9925619136167695,0.9927309610345701,0.9935756551141166,0.9931032151188343,0.00039153349108905,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,722.9011303424835,3.545373970432619,4.1014862060546875,0.1269484004978588,1,5,150,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 150}",0.993408822038195,0.993238674780257,0.9928154847434706,0.9931535795790719,0.9933220625528317,0.9931877345413976,0.00020457544024929145,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,913.3591164112091,9.96879775403441,5.230578279495239,0.12954632134988392,1,5,200,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 200}",0.9935778266013182,0.9933231913455037,0.9929845321612712,0.9931535795790719,0.9933220625528317,0.9932722539639609,0.0001976519036496333,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,552.603346824646,6.773628139344766,3.02920823097229,0.016430225465155816,1,7,100,"{'learning_rate': 1, 'max_depth': 7, 'n_estimators': 100}",0.9941693425722494,0.9934077079107505,0.9931535795790719,0.9923083424900685,0.9939137785291632,0.9933905811555496,0.0006492968822619359,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,737.7205159187317,2.5874409334391197,4.171977090835571,0.03405655059762086,1,7,150,"{'learning_rate': 1, 'max_depth': 7, 'n_estimators': 150}",0.9940848402906879,0.9934922244759973,0.9929845321612712,0.9923083424900685,0.9938292476754015,0.9933398695020116,0.000633721977570186,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,909.2961864948272,2.6415110117751164,5.266195011138916,0.048962806494702756,1,7,200,"{'learning_rate': 1, 'max_depth': 7, 'n_estimators': 200}",0.9941693425722494,0.9934077079107505,0.9932381032879722,0.9924773899078692,0.9936601859678783,0.9933905811555496,0.0005543801785640214,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,553.3377010822296,8.786562262488534,3.187364435195923,0.4173787535956291,1,9,100,"{'learning_rate': 1, 'max_depth': 9, 'n_estimators': 100}",0.9932398174750718,0.9930696416497633,0.9916321528188657,0.9917166765277661,0.993491124260355,0.9926299063524798,0.0007920157495547632,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,738.3065556526184,10.966122369890577,4.110805988311768,0.057191810730545724,1,9,150,"{'learning_rate': 1, 'max_depth': 9, 'n_estimators': 150}",0.9933243197566334,0.993238674780257,0.9918012002366664,0.9917166765277661,0.9935756551141166,0.9927313296595558,0.0008020562406642643,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,898.8876701831817,3.9963015713273498,5.178286361694336,0.10896816013577164,1,9,200,"{'learning_rate': 1, 'max_depth': 9, 'n_estimators': 200}",0.993408822038195,0.9931541582150102,0.9917166765277661,0.9919702476544671,0.9936601859678783,0.9927820413130938,0.0007869387882421877,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,543.5040466308594,3.4134020057999015,2.8947432041168213,0.02306271520534464,1,11,100,"{'learning_rate': 1, 'max_depth': 11, 'n_estimators': 100}",0.992141287814771,0.9924780256930358,0.9906178683120616,0.9923083424900685,0.9929839391377853,0.9921058859325873,0.0007956997089748315,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,724.298332452774,3.8452552737759875,4.017754411697387,0.02694213188396009,1,11,150,"{'learning_rate': 1, 'max_depth': 11, 'n_estimators': 150}",0.9924792969410174,0.9923089925625422,0.9908714394387625,0.9923083424900685,0.9928148774302621,0.9921565975861253,0.0006686146602008485,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,890.9871483325958,6.801046511260651,5.019094562530517,0.08210012944897882,1,11,200,"{'learning_rate': 1, 'max_depth': 11, 'n_estimators': 200}",0.992563799222579,0.9923089925625422,0.9908714394387625,0.9922238187811682,0.9931530008453086,0.992224213124176,0.0007503284451477462,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,574.538857793808,2.898779473646725,2.8260586261749268,0.02976133103027475,0.5,5,100,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 100}",0.9940003380091262,0.9936612576064908,0.9923928661989688,0.9927309610345701,0.9942519019442096,0.9934074850400622,0.0007233191303306719,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,825.1078242778779,1.922723065123404,4.220783329010009,0.026786212650795338,0.5,5,150,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 150}",0.9942538448538111,0.9937457741717377,0.9920547713633674,0.9928154847434706,0.9943364327979712,0.9934412928090876,0.0008795696826924889,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,1057.5531047821046,3.0167426413903184,5.738911437988281,0.07115239622689778,0.5,5,200,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 200}",0.9947608585431806,0.9936612576064908,0.9927309610345701,0.9929845321612712,0.9943364327979712,0.9936948510767775,0.0007723816026170531,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
