,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,134.0382179260254,7.996795107524702,1.294121265411377,0.1635333059036475,1,5,100,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 100}",0.994754411063424,0.9937201907790143,0.9930837109468161,0.9934017012481119,0.9944347273016377,0.9938789786638685,0.0006262209198602355,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,209.60109763145448,5.568237812076343,2.3612866401672363,0.11084478729619666,1,5,150,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 150}",0.9950723255444286,0.993879173290938,0.9930042133714921,0.9935606963987599,0.9945937350930195,0.9940220674743235,0.0007347468722446341,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,280.6258354187012,9.414526369477077,2.6014957427978516,0.4128208360359887,1,5,200,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 200}",0.9951518041646797,0.9937996820349762,0.9930042133714921,0.9937196915494078,0.9945937350930195,0.9940538649877579,0.0007449988772484074,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,188.0393325805664,3.2896399925451774,1.6874998569488526,0.03523992152596635,1,7,100,"{'learning_rate': 1, 'max_depth': 7, 'n_estimators': 100}",0.9941980607216658,0.9929252782193959,0.9931632085221401,0.9931632085221401,0.9941167117188743,0.9935133072593724,0.0005336559002290168,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,251.99345636367798,3.0376396106540593,2.4961077213287353,0.13439295446270544,1,7,150,"{'learning_rate': 1, 'max_depth': 7, 'n_estimators': 150}",0.9939596248609124,0.9930047694753578,0.9930837109468161,0.9931632085221401,0.9944347273016377,0.9935292060160895,0.0005679096462240855,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,308.46227850914,0.7104355785847518,3.0347752571105957,0.11125110313385182,1,7,200,"{'learning_rate': 1, 'max_depth': 7, 'n_estimators': 200}",0.9941185821014147,0.9930842607313195,0.9931632085221401,0.993322203672788,0.9945937350930195,0.9936563960698274,0.0005957180907867193,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,195.11284050941467,0.627001504965632,1.5912413597106934,0.05872135784584861,1,9,100,"{'learning_rate': 1, 'max_depth': 9, 'n_estimators': 100}",0.9941980607216658,0.9924483306836248,0.9923682327689005,0.9926067254948724,0.9941167117188743,0.9931476358548762,0.0008284497604288766,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,260.7227569103241,1.5641379415831538,2.6295367240905763,0.45469693775968156,1,9,150,"{'learning_rate': 1, 'max_depth': 9, 'n_estimators': 150}",0.9941185821014147,0.9926868044515104,0.9924477303442245,0.9927657206455203,0.9941962156145651,0.9932430283951795,0.0007543031776020684,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,320.3053074359894,3.659563246025087,2.799101638793945,0.26221590129831646,1,9,200,"{'learning_rate': 1, 'max_depth': 9, 'n_estimators': 200}",0.9941980607216658,0.9926868044515104,0.9927657206455203,0.9929247157961683,0.9941167117188743,0.9933384209354829,0.0006735743981564556,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,199.12507510185242,3.420117462270103,1.8791504383087159,0.388341654948989,1,11,100,"{'learning_rate': 1, 'max_depth': 11, 'n_estimators': 100}",0.994277539341917,0.9940381558028617,0.9918912473169569,0.9919707448922808,0.9943552234059468,0.9933066234220483,0.0011282833495002123,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,262.52375836372374,3.0309206587213486,2.7042462825775146,0.37245892229409744,1,11,150,"{'learning_rate': 1, 'max_depth': 11, 'n_estimators': 150}",0.9941185821014147,0.9943561208267091,0.9920502424676048,0.9922092376182526,0.994275719510256,0.9934020159623518,0.0010427873776932615,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,301.5043622016907,5.721013590752346,2.8105514526367186,0.10245914139178418,1,11,200,"{'learning_rate': 1, 'max_depth': 11, 'n_estimators': 200}",0.9944364965824193,0.9942766295707473,0.9922887351935766,0.9922092376182526,0.9943552234059468,0.9935133072593724,0.001033815746244586,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,202.39486594200133,1.1486140136418228,1.6409720420837401,0.08706303157111299,0.5,5,100,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 100}",0.9951518041646797,0.9940381558028617,0.9929247157961683,0.9940376818507035,0.9949117506757831,0.9942128525549302,0.0007862080116982816,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,285.95467977523805,1.0586597596955782,2.3619698524475097,0.20059009258653526,0.5,5,150,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 150}",0.9949928469241774,0.9941971383147854,0.993242706097464,0.9941171794260275,0.9949117506757831,0.9942923463385164,0.0006349561481406738,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,364.5291848182678,2.7068421933241527,3.1880013942718506,0.38627368859166944,0.5,5,200,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 200}",0.995310761405182,0.9941176470588236,0.9937991891247316,0.9940376818507035,0.9950707584671649,0.9944672326624058,0.0006047898017942469,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
