,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,1.0565824508666992,0.00977945327758789,0.03123784065246582,0.00414729118347168,1,5,50,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 50}",0.9610208816705337,0.9540176497909894,0.9575208913649025,0.003501615562419742,18
1,1.2135558128356934,0.322681188583374,0.055275917053222656,0.012474298477172852,1,5,100,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 100}",0.9624129930394432,0.9530887134231305,0.957753017641597,0.0046621393057397955,16
2,1.522607445716858,0.37365448474884033,0.07866919040679932,0.01601111888885498,1,5,150,"{'learning_rate': 1, 'max_depth': 5, 'n_estimators': 150}",0.9624129930394432,0.9530887134231305,0.957753017641597,0.0046621393057397955,16
3,0.7999987602233887,0.12335681915283203,0.02961421012878418,0.0055806636810302734,1,7,50,"{'learning_rate': 1, 'max_depth': 7, 'n_estimators': 50}",0.9633410672853828,0.9563399907106364,0.9598421541318477,0.003500537910136947,11
4,2.152927279472351,0.3783048391342163,0.14326441287994385,0.03404128551483154,1,7,100,"{'learning_rate': 1, 'max_depth': 7, 'n_estimators': 100}",0.9633410672853828,0.9558755225267069,0.9596100278551533,0.0037327719770748995,12
5,2.7859727144241333,0.22013723850250244,0.12272679805755615,0.02250802516937256,1,7,150,"{'learning_rate': 1, 'max_depth': 7, 'n_estimators': 150}",0.9638051044083527,0.9577333952624245,0.9607706592386258,0.003035854245804526,9
6,1.2597246170043945,0.2922217845916748,0.04893171787261963,0.008138537406921387,1,9,50,"{'learning_rate': 1, 'max_depth': 9, 'n_estimators': 50}",0.9596287703016241,0.9563399907106364,0.9579851439182916,0.0016443896182858292,15
7,1.8546174764633179,0.38528120517730713,0.08339202404022217,0.016357064247131348,1,9,100,"{'learning_rate': 1, 'max_depth': 9, 'n_estimators': 100}",0.9610208816705337,0.9577333952624245,0.9593779015784587,0.00164374302691623,13
8,2.3971256017684937,0.5780061483383179,0.11353898048400879,0.02171039581298828,1,9,150,"{'learning_rate': 1, 'max_depth': 9, 'n_estimators': 150}",0.9605568445475638,0.9581978634463539,0.9593779015784587,0.0011794904234968943,13
9,1.47728431224823,0.40411055088043213,0.049912214279174805,0.009115457534790039,0.5,5,50,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 50}",0.9693735498839907,0.9563399907106364,0.9628597957288765,0.006516778884394977,2
10,2.7128018140792847,0.05306899547576904,0.11363410949707031,0.001844644546508789,0.5,5,100,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 100}",0.9689095127610209,0.9563399907106364,0.962627669452182,0.006284760347913595,3
11,2.9975385665893555,0.8055465221405029,0.14729773998260498,0.03288686275482178,0.5,5,150,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 150}",0.9693735498839907,0.9572689270784951,0.9633240482822656,0.006052310750519127,1
12,1.6239278316497803,0.3491847515106201,0.055892109870910645,0.00669705867767334,0.5,7,50,"{'learning_rate': 0.5, 'max_depth': 7, 'n_estimators': 50}",0.9661252900232019,0.9544821179749187,0.9603064066852368,0.005821585396777109,10
13,2.507111072540283,0.5267455577850342,0.10660958290100098,0.015790700912475586,0.5,7,100,"{'learning_rate': 0.5, 'max_depth': 7, 'n_estimators': 100}",0.9665893271461717,0.9554110543427775,0.9610027855153204,0.0055891357993825865,7
14,3.376888155937195,0.8611253499984741,0.16291391849517822,0.04700648784637451,0.5,7,150,"{'learning_rate': 0.5, 'max_depth': 7, 'n_estimators': 150}",0.9665893271461717,0.9563399907106364,0.9614670380687094,0.005124667665506681,6
15,1.9554834365844727,0.4442431926727295,0.06802701950073242,0.011728048324584961,0.5,9,50,"{'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 50}",0.9651972157772621,0.9568044588945657,0.9610027855153204,0.00419637798912458,7
16,3.2256585359573364,0.7139037847518921,0.13228023052215576,0.02508080005645752,0.5,9,100,"{'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 100}",0.9661252900232019,0.9572689270784951,0.9616991643454039,0.004428180995149448,5
17,3.8776179552078247,0.6455098390579224,0.1518857479095459,0.008178949356079102,0.5,9,150,"{'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 150}",0.965661252900232,0.9581978634463539,0.9619312906220984,0.003731694324792104,4
