,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__max_depth,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,1.7660045623779297,0.303325891494751,0.07958173751831055,0.010031700134277344,3,1,50,"{'base_estimator__max_depth': 3, 'learning_rate': 1, 'n_estimators': 50}",0.8459396751740139,0.8792382721783558,0.8625812441968431,0.016649296707955594,78
1,3.8929691314697266,0.07892513275146484,0.2383660078048706,0.02773892879486084,3,1,100,"{'base_estimator__max_depth': 3, 'learning_rate': 1, 'n_estimators': 100}",0.8779582366589327,0.8745935903390618,0.8762766945218199,0.0016823229786395097,73
2,8.466687679290771,0.2963593006134033,0.3373889923095703,0.04653048515319824,3,1,150,"{'base_estimator__max_depth': 3, 'learning_rate': 1, 'n_estimators': 150}",0.8649651972157772,0.8653042266604738,0.8651346332404828,0.00016951470408048226,77
3,9.528812885284424,0.762253999710083,0.3431508541107178,0.0021276473999023438,3,1,200,"{'base_estimator__max_depth': 3, 'learning_rate': 1, 'n_estimators': 200}",0.874245939675174,0.8843474222015791,0.8792943361188487,0.005050740718908285,71
4,1.6713730096817017,0.2858537435531616,0.06655526161193848,0.0016665458679199219,3,0.5,50,"{'base_estimator__max_depth': 3, 'learning_rate': 0.5, 'n_estimators': 50}",0.8928074245939676,0.887598699489085,0.8902042711234912,0.0026043622717815762,67
5,3.72213876247406,0.7046433687210083,0.15745174884796143,0.026313424110412598,3,0.5,100,"{'base_estimator__max_depth': 3, 'learning_rate': 0.5, 'n_estimators': 100}",0.8932714617169374,0.89921040408732,0.8962395543175488,0.002969470865185585,66
6,6.031025528907776,0.4402810335159302,0.2721397876739502,0.09375262260437012,3,0.5,150,"{'base_estimator__max_depth': 3, 'learning_rate': 0.5, 'n_estimators': 150}",0.9062645011600928,0.9024616813748259,0.904363974001857,0.0019014096877276276,61
7,9.836158275604248,0.36832451820373535,0.4482957124710083,0.0788348913192749,3,0.5,200,"{'base_estimator__max_depth': 3, 'learning_rate': 0.5, 'n_estimators': 200}",0.9048723897911833,0.8978169995355318,0.9013463324048282,0.0035276947476628974,65
8,1.4482144117355347,0.027375340461730957,0.06621456146240234,0.0008234977722167969,3,0.1,50,"{'base_estimator__max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 50}",0.8928074245939676,0.8439386901997213,0.8683844011142061,0.024434364563948093,75
9,4.48471987247467,0.1420837640762329,0.20928025245666504,0.05864405632019043,3,0.1,100,"{'base_estimator__max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 100}",0.8835266821345708,0.8885276358569438,0.8860259981429898,0.002500476591722095,69
10,5.910547971725464,0.6323912143707275,0.26535236835479736,0.003332972526550293,3,0.1,150,"{'base_estimator__max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 150}",0.8761020881670534,0.9001393404551788,0.8881151346332404,0.012018624848872816,68
11,9.164047598838806,0.9193185567855835,0.3984866142272949,0.12157893180847168,3,0.1,200,"{'base_estimator__max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 200}",0.8863109048723898,0.8843474222015791,0.8853296193129062,0.0009817412296077772,70
12,3.1403220891952515,0.009482264518737793,0.12494194507598877,0.007473111152648926,3,0.05,50,"{'base_estimator__max_depth': 3, 'learning_rate': 0.05, 'n_estimators': 50}",0.7851508120649652,0.903855085926614,0.8444753946146704,0.059352130534728174,80
13,4.212244153022766,0.05646359920501709,0.15223634243011475,0.022948145866394043,3,0.05,100,"{'base_estimator__max_depth': 3, 'learning_rate': 0.05, 'n_estimators': 100}",0.8445475638051044,0.8996748722712494,0.8720984215413184,0.02756365126266917,74
14,6.064283490180969,0.05756175518035889,0.3493506908416748,0.04547834396362305,3,0.05,150,"{'base_estimator__max_depth': 3, 'learning_rate': 0.05, 'n_estimators': 150}",0.851508120649652,0.8843474222015791,0.8679201485608171,0.01641964900649626,76
15,9.207712054252625,0.693423867225647,0.40399277210235596,0.13347208499908447,3,0.05,200,"{'base_estimator__max_depth': 3, 'learning_rate': 0.05, 'n_estimators': 200}",0.8264501160092808,0.885276358569438,0.8558495821727019,0.029413118110367058,79
16,1.6541929244995117,0.059051513671875,0.07935178279876709,0.010101675987243652,3,0.01,50,"{'base_estimator__max_depth': 3, 'learning_rate': 0.01, 'n_estimators': 50}",0.877030162412993,0.880631676730144,0.8788300835654597,0.0018007569645164764,72
17,3.6624693870544434,0.8581726551055908,0.20531630516052246,0.07752156257629395,3,0.01,100,"{'base_estimator__max_depth': 3, 'learning_rate': 0.01, 'n_estimators': 100}",0.9011600928074246,0.9047840222944729,0.9029712163416899,0.0018119645482573467,64
18,7.043212294578552,0.5130246877670288,0.2637491226196289,0.001783609390258789,3,0.01,150,"{'base_estimator__max_depth': 3, 'learning_rate': 0.01, 'n_estimators': 150}",0.9076566125290023,0.9010682768230376,0.904363974001857,0.0032941674979856343,61
19,8.48199713230133,0.42854321002960205,0.32019519805908203,0.011738061904907227,3,0.01,200,"{'base_estimator__max_depth': 3, 'learning_rate': 0.01, 'n_estimators': 200}",0.905800464037123,0.9024616813748259,0.9041318477251625,0.0016693911512462448,63
20,2.4881985187530518,0.4669170379638672,0.0827183723449707,0.014332771301269531,5,1,50,"{'base_estimator__max_depth': 5, 'learning_rate': 1, 'n_estimators': 50}",0.9406032482598607,0.9424059451927543,0.9415041782729805,0.0009013483693127761,54
