,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__max_depth,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,118.95086965560913,7.243186025519086,0.7161877632141114,0.04311685600624547,5,1,100,"{'base_estimator__max_depth': 5, 'learning_rate': 1, 'n_estimators': 100}",0.724522562109177,0.7089249492900609,0.7085622517116051,0.7329050798749049,0.6236686390532544,0.6997193955170898,0.0391469751258599,36,0.7350181725974135,0.7183789037738241,0.7229065860925054,0.7354575612229806,0.6292892156862745,0.7082100878745996,0.04002247906865209
1,206.20483798980712,1.5973871100464567,0.9733050346374512,0.18526499184532524,5,1,150,"{'base_estimator__max_depth': 5, 'learning_rate': 1, 'n_estimators': 150}",0.7486902146357952,0.7342799188640974,0.6897134646268278,0.7236919956047672,0.7130177514792899,0.7218803881131884,0.019945636688061697,30,0.7572479080382047,0.7455098677259857,0.7023263676125678,0.731147125319585,0.7192148411088574,0.7310892219610401,0.01929009043656735
2,285.841798210144,3.835890667657716,1.3720208168029786,0.061914654464711415,5,1,200,"{'base_estimator__max_depth': 5, 'learning_rate': 1, 'n_estimators': 200}",0.7277336488085179,0.7073191345503719,0.7583467162539093,0.7166765277660384,0.7093829247675402,0.723891950370195,0.018649626701525597,28,0.7354619220691404,0.7265562270210878,0.7732795233165001,0.7272170219959009,0.7175033806626099,0.7360036150130478,0.019485906696038495
3,149.41492094993592,1.091411583283569,0.6783038139343261,0.012863375458236861,5,0.5,100,"{'base_estimator__max_depth': 5, 'learning_rate': 0.5, 'n_estimators': 100}",0.7243535575460538,0.7429006085192698,0.7045896373932888,0.7132110557011242,0.6975486052409129,0.7165218567226749,0.015940370928930057,32,0.7317851407319753,0.7534336305624815,0.7183003359604454,0.7266042639508103,0.7052696078431373,0.7270785958097699,0.015935207653148323
4,223.3421573638916,1.3427909498068082,1.1132020950317383,0.1142050355300144,5,0.5,150,"{'base_estimator__max_depth': 5, 'learning_rate': 0.5, 'n_estimators': 150}",0.7085516308940342,0.7227011494252874,0.7448229228298537,0.7531062463020878,0.6886728655959425,0.7235707765644546,0.023528734853139527,29,0.7145634350435297,0.7389806871487132,0.7595452912713673,0.758826885287468,0.6993534482758621,0.7342539494053881,0.02396490991373601
5,302.34343271255494,3.7585385963262645,1.2983416080474854,0.18133161870318715,5,0.5,200,"{'base_estimator__max_depth': 5, 'learning_rate': 0.5, 'n_estimators': 200}",0.727480141963833,0.710023664638269,0.7129574845744231,0.6742456258980644,0.741251056635672,0.7131917914736806,0.02244207397094066,33,0.7346589468345871,0.7200693065122765,0.7288017410780315,0.685803029982885,0.748182893847194,0.7235031836509949,0.020950928176036904
6,153.8407232761383,2.359953456598016,0.7328607082366944,0.05602181492745803,5,0.1,100,"{'base_estimator__max_depth': 5, 'learning_rate': 0.1, 'n_estimators': 100}",0.6813418962311982,0.7139114266396214,0.748541966021469,0.754374101935593,0.687658495350803,0.717164204334156,0.030111686687705055,31,0.685846504944637,0.7204496471284283,0.7642994485177594,0.7583620343567097,0.6910919540229885,0.7240099177941046,0.03272927785525196
7,229.21136741638185,2.1012666133308753,1.0616419315338135,0.1904952239894427,5,0.1,150,"{'base_estimator__max_depth': 5, 'learning_rate': 0.1, 'n_estimators': 150}",0.7168328544870711,0.693289384719405,0.7435550671963486,0.7472741103879639,0.6497041420118344,0.710132188376889,0.03598926850089926,35,0.7185149184346209,0.6988758821789292,0.7606862890105014,0.7538614321634585,0.6545807978363759,0.7173038639247771,0.03871364303608067
8,301.52947731018065,3.898114215673933,1.4228002071380614,0.10054696574255187,5,0.1,200,"{'base_estimator__max_depth': 5, 'learning_rate': 0.1, 'n_estimators': 200}",0.6903836403582897,0.719235970250169,0.7181134308173442,0.7076324909137013,0.7207945900253593,0.711230940870212,0.011406543974521448,34,0.696834587101682,0.7236191522630266,0.7315908466625816,0.7131869757221037,0.7226166328600405,0.7175696389218869,0.01189800938555202
9,201.9262037754059,0.5201550532980254,0.5894371032714844,0.1663758260272463,7,1,100,"{'base_estimator__max_depth': 7, 'learning_rate': 1, 'n_estimators': 100}",0.9203988507689708,0.9159060175794456,0.9131941509593441,0.8961203617614741,0.9033812341504649,0.9098008722404408,0.00882588017560683,27,0.9353182317640099,0.9329332713518996,0.9318359498806178,0.9108542692332072,0.9096095334685599,0.9241102511396588,0.011394233679002604
10,298.45705556869507,1.6606654866821167,1.1179192066192627,0.035503615764021834,7,1,150,"{'base_estimator__max_depth': 7, 'learning_rate': 1, 'n_estimators': 150}",0.9329896907216495,0.941260987153482,0.9257881835854957,0.9371143605781421,0.9004226542688081,0.9275161432097095,0.014477275953171172,23,0.9490744653875413,0.9560495288002366,0.942823335516724,0.9536839436262599,0.9108138945233266,0.9424890335708177,0.016468194471150624
11,393.84781594276427,3.9754049606459154,1.5506673336029053,0.24136510933719624,7,1,200,"{'base_estimator__max_depth': 7, 'learning_rate': 1, 'n_estimators': 200}",0.9521717086361332,0.9422751859364435,0.9371988842870426,0.9407488800608571,0.9249366018596787,0.939467189560161,0.008800223601902813,21,0.9680289071084439,0.9584583527025313,0.9526274642381727,0.9597692649016417,0.9359998309668696,0.9549767639835318,0.010687293026992097
12,206.52205715179443,1.3326523729562634,0.7087499618530273,0.16286688363664684,7,0.5,100,"{'base_estimator__max_depth': 7, 'learning_rate': 0.5, 'n_estimators': 100}",0.9036673990197736,0.9180189317106153,0.9071084439185192,0.9071929676274195,0.9389687235841082,0.9149903647858277,0.012924471916603286,26,0.9183923590567155,0.9360182563495753,0.9260464428339004,0.9245039829272931,0.948106828938472,0.9306135740211913,0.010418910158900544
13,309.07202301025393,3.925547577548216,1.1884450435638427,0.11304822213462012,7,0.5,150,"{'base_estimator__max_depth': 7, 'learning_rate': 0.5, 'n_estimators': 150}",0.9213283758661484,0.9518255578093306,0.9518214859268025,0.9458203025948778,0.9221470836855452,0.9385881875655026,0.013934711378034934,22,0.9344729946750063,0.9662553353336433,0.9690028947535234,0.9620090012043865,0.9318796484110886,0.9527239748755296,0.016136275197239276
14,407.42571930885316,1.7937178139079863,1.5281563758850099,0.04986493509119642,7,0.5,200,"{'base_estimator__max_depth': 7, 'learning_rate': 0.5, 'n_estimators': 200}",0.9510731789758323,0.9466700473292765,0.9513988673823007,0.9439607809990702,0.9475063398140321,0.9481219784306434,0.002801807589276685,19,0.96340123404615,0.9585640028736847,0.9671223614427282,0.9575717877744205,0.9576360716700474,0.9608590915614063,0.003798754888421914
15,205.44236612319946,2.8760467100090525,0.8294416904449463,0.1189749835102983,7,0.1,100,"{'base_estimator__max_depth': 7, 'learning_rate': 0.1, 'n_estimators': 100}",0.8873584586783844,0.947684246112238,0.9027977347646015,0.9348322204378328,0.9474218089602705,0.9240170391155887,0.024573103884988262,25,0.9034527935085792,0.9609516967417487,0.9185665687662433,0.9515075960868004,0.9579741379310345,0.9384905586068811,0.02314375167772686
16,305.8285496711731,1.570547044972837,1.1729465007781983,0.06884686722261953,7,0.1,150,"{'base_estimator__max_depth': 7, 'learning_rate': 0.1, 'n_estimators': 150}",0.8576981578502619,0.95368492224476,0.9348322204378328,0.9464119685571802,0.9316990701606086,0.9248622333412219,0.03450565958817285,24,0.8699180120023666,0.9658961247517222,0.9505990238130454,0.9613539839837725,0.9476208586883029,0.9390776006478421,0.0352256998254078
17,406.9780190944672,2.8848925608888605,1.615689992904663,0.27201072811812693,7,0.1,200,"{'base_estimator__max_depth': 7, 'learning_rate': 0.1, 'n_estimators': 200}",0.9307926314010478,0.9428668018931711,0.9375369791226439,0.9508917251288986,0.9615384615384616,0.9447242976435986,0.01067660187880221,20,0.9445101851069225,0.954929636986012,0.9530289264056458,0.9672068797937752,0.9744126098715348,0.9588176476327781,0.010648112204920965
18,243.51196904182433,2.037320284901141,0.8737632274627686,0.13194146123307407,9,1,100,"{'base_estimator__max_depth': 9, 'learning_rate': 1, 'n_estimators': 100}",0.9804799729592699,0.9813218390804598,0.9825881159665286,0.9847012086890373,0.9804733727810651,0.9819128435714527,0.001594062994605771,18,0.9932592342151974,0.9942737607234924,0.994992287700467,0.9961966742028863,0.9939148073022313,0.994527352828855,0.001005031748854981
19,363.2845214366913,2.1206675891363,1.2310593605041504,0.061967642048546996,9,1,150,"{'base_estimator__max_depth': 9, 'learning_rate': 1, 'n_estimators': 150}",0.9832685482508028,0.9857167004732927,0.98292621080213,0.9813202603330234,0.9806424344885883,0.9827749416815984,0.0017654335378009009,17,0.9963866114445102,0.997612306131936,0.9955839161577957,0.9945696959452321,0.9937457741717377,0.9955796607702425,0.0013539574342919373
20,485.1383988380432,5.834961778230153,1.6915530204772948,0.2776021254282031,9,1,200,"{'base_estimator__max_depth': 9, 'learning_rate': 1, 'n_estimators': 200}",0.9864796349501437,0.9861392832995267,0.9830107345110304,0.9869833488293467,0.9832628909551987,0.9851752932823963,0.001687704043909495,16,0.9981616093314175,0.9981194269534717,0.9967249138969299,0.9981405962769666,0.9966404665314401,0.9975574025980452,0.0007148232239658664
21,255.18943886756898,2.6666392807775754,0.844414758682251,0.022168610792639085,9,0.5,100,"{'base_estimator__max_depth': 9, 'learning_rate': 0.5, 'n_estimators': 100}",0.9852121007267196,0.985209601081812,0.9859690643225425,0.984870256106838,0.9858833474218089,0.9854288515500862,0.00042554188786220816,14,0.9973586340968642,0.9966191945230951,0.9994928898937182,0.9977602636972552,0.9980983772819473,0.9978658718985761,0.0009511986194292687
22,374.7060694217682,2.4257903621743697,1.3297193050384521,0.30102047861170944,9,0.5,150,"{'base_estimator__max_depth': 9, 'learning_rate': 0.5, 'n_estimators': 150}",0.990028730775731,0.986815415821501,0.9853773983602401,0.9856309694869411,0.9854606931530009,0.9866628351195105,0.001761632184281846,13,0.9998309525821993,0.9995985293496176,0.9976968749339701,0.9989223910241511,0.9989646720757268,0.999002683993133,0.0007421711002461545
23,494.0763255119324,7.225229040044023,1.5705105304718017,0.3743824285980096,9,0.5,200,"{'base_estimator__max_depth': 9, 'learning_rate': 0.5, 'n_estimators': 200}",0.9898597262126078,0.9879141311697093,0.9883357281717522,0.9861381117403432,0.9874049027895182,0.98793062645796,0.001214565436078399,10,0.9996619051643986,0.9996407894180789,0.9998520928856678,0.9994083715426711,0.999091446923597,0.9995309211868827,0.0002609732300752188
24,250.77435178756713,3.324923325572749,0.8160285472869873,0.019105654530353695,9,0.1,100,"{'base_estimator__max_depth': 9, 'learning_rate': 0.1, 'n_estimators': 100}",0.985550109852966,0.9859702501690332,0.9856309694869411,0.9803059758262193,0.9885038038884193,0.985192197166909,0.002674517903368958,15,0.9988377990026203,0.999450619110003,0.9997675745346208,0.9980349483381579,0.9997464503042597,0.9991674782579324,0.0006583016549276877
25,380.1888066768646,3.570013753528385,1.0275835514068603,0.21259648836501094,9,0.1,150,"{'base_estimator__max_depth': 9, 'learning_rate': 0.1, 'n_estimators': 150}",0.9892682102416765,0.9849560513860717,0.9878285859183501,0.9866452539937453,0.9881656804733728,0.9873727982690422,0.0014696789511735454,11,0.9999366072183248,0.9986899378776993,0.9990069093751981,0.9975700974073995,0.9995351588911426,0.9989477421539528,0.0008112683145909739
26,500.60918989181516,4.424506207349796,1.6870818614959717,0.0626599515642851,9,0.1,200,"{'base_estimator__max_depth': 9, 'learning_rate': 0.1, 'n_estimators': 200}",0.9879161737366909,0.9874070317782285,0.9845321612712365,0.9857154931958414,0.9889264581572274,0.9868994895026877,0.0015751346360996141,12,0.9997252979460739,0.9996196593838482,0.999746444946859,0.9995562786570034,0.9995562880324543,0.9996407937932478,8.128199459488164e-05
27,275.30379219055175,4.7768189293472005,0.8502724170684814,0.024304166594559123,11,1,100,"{'base_estimator__max_depth': 11, 'learning_rate': 1, 'n_estimators': 100}",0.9903667399019773,0.9873225152129818,0.9881666807539515,0.9885047755895529,0.9887573964497042,0.9886236857229791,0.0009972777040763614,8,0.9999788690727749,0.9998520897603854,0.999915481648953,0.9999788704122382,0.9999577417173766,0.9999366105223455,4.818381320469864e-05
28,411.46767554283144,2.8741878189335295,1.360515260696411,0.23862002412433866,11,1,150,"{'base_estimator__max_depth': 11, 'learning_rate': 1, 'n_estimators': 150}",0.9888456988338685,0.9881676808654496,0.9881666807539515,0.988758346716254,0.9898562975486053,0.9887589167990805,0.0006183707829081636,6,0.9999788690727749,1.0,1.0,0.9999788704122382,0.9999577417173766,0.9999830962404779,1.58117208725451e-05
29,541.4759037971496,4.492702316186937,1.4519960403442382,0.2789325858604076,11,1,200,"{'base_estimator__max_depth': 11, 'learning_rate': 1, 'n_estimators': 200}",0.9907047490282238,0.9893509127789046,0.988758346716254,0.9894345363874567,0.9912933220625528,0.9899083809459414,0.0009391425329040813,1,1.0,1.0,0.9999788704122382,1.0,1.0,0.9999957740824478,8.451835104716921e-06
30,287.5945563316345,1.6403311239417793,0.926924180984497,0.058551324023121555,11,0.5,100,"{'base_estimator__max_depth': 11, 'learning_rate': 0.5, 'n_estimators': 100}",0.9901132330572926,0.9885902636916836,0.9881666807539515,0.9872369199560477,0.9890955198647506,0.9886405896074918,0.0009563839982031629,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
